name,description,initials,teachers
Improvisación y Máscara,Improvisación y Máscara,ACO256E,['Jimmy Daccarett']
Habilidades Comunicativas Orales,Habilidades Comunicativas Orales,ACO264E,['Gabriela Aguilera']
Taller de Creación Escénica,Taller de Creación Escénica,ACO3023,['Guillermo Calderon']
Performance y Artes Vivas,Performance y Artes Vivas,ACO4001,['(Sin Profesores)']
Tetralogía I: Estéticas de las Artes Escénicas,Tetralogía I: Estéticas de las Artes Escénicas,ACO4006,['Patricio Rodriguez']
Taller de Montaje: Teatro Dramático,Taller de Montaje: Teatro Dramático,ACT101A,['Juan Troncoso']
Taller de Montaje: Teatro Fragmentario,Taller de Montaje: Teatro Fragmentario,ACT101B,['Claudia Echenique']
Taller de Montaje: Cuerpo Extracotidiano,Taller de Montaje: Cuerpo Extracotidiano,ACT101E,['Juan Montagna']
Taller de Montaje: Teatro Clásico-Barroco,Taller de Montaje: Teatro Clásico-Barroco,ACT101F,['Mariana Muñoz']
Taller de Montaje: Teatro Colaborativo,Taller de Montaje: Teatro Colaborativo,ACT101G,['Bosco Cayo']
Taller de Montaje: Prácticas Performativas y Multimedia,Taller de Montaje: Prácticas Performativas y Multimedia,ACT101H,['Ana Ormazabal']
Procesos Creativos del Cuerpo,Procesos Creativos del Cuerpo,ACT103A,['Elias Cohen']
Cuerpo y Memoria,Cuerpo y Memoria,ACT103C,['Alvaro Pizarro']
Ejercicios de Escritura Teatral,Ejercicios de Escritura Teatral,ACT106B,['Maria Duarte']
Taller de Dramaturgía,Taller de Dramaturgía,ACT106D,['Ines Stranger']
Dirección: Imagen y Sonido,Dirección: Imagen y Sonido,ACT108B,['Luis Ureta']
Dirección: Laboratorio de Creación,Dirección: Laboratorio de Creación,ACT108C,['Guillermo Calderon']
Actuación I: Percepción Teatral,Actuación I: Percepción Teatral,ACT111,['Alexei Vergara']
Voz I: Percepción,Voz I: Percepción,ACT112,['Elvira Lopez']
Movimiento I: Conciencia Corporal,Movimiento I: Conciencia Corporal,ACT113,['Ignacia Aguero']
Teatro Chileno,Teatro Chileno,ACT114,['Maria Martinez']
El Proceso de Creación Teatral,El Proceso de Creación Teatral,ACT115,['Maria Duarte']
Re-Conociendo la Emoción,Re-Conociendo la Emoción,ACT1291,['Paula Zuniga']
Entrenamiento y Cuerpo-Metáfora,Entrenamiento y Cuerpo-Metáfora,ACT1299,['Maria Sazie']
Actuación: Exploración y Acontecimiento,Actuación: Exploración y Acontecimiento,ACT1305,['Alvaro Viguera']
Comunicación Expresiva: Conciencia Vocal y Corporal,Comunicación Expresiva: Conciencia Vocal y Corporal,ACT1307,['Sofia Zagal']
Conciencia y Expresión del Cuerpo,Conciencia y Expresión del Cuerpo,ACT1308,['Carolina Gimeno']
Actuación Iii: la Escena Moderna en el Siglo XX,Actuación Iii: la Escena Moderna en el Siglo XX,ACT131,['Luis Ureta']
Mitos Clásicos y Creación de Relatos en la Dramaturgia,Mitos Clásicos y Creación de Relatos en la Dramaturgia,ACT1311,['Luis Barrales']
Performance Como Experiencia para la Transformación Social,Performance Como Experiencia para la Transformación Social,ACT1312,['Roxana Gómez']
Problemas de las Artes Escénicas Hoy,Problemas de las Artes Escénicas Hoy,ACT1313,['Andres Grumann']
Teatro Aplicado,Teatro Aplicado,ACT1314,['Ana Sedano;Maria Garcia-Huidobro;Victor Romero']
La Experiencia de la Creación Teatral,La Experiencia de la Creación Teatral,ACT1315,['Jimmy Daccarett']
Improvisación y Juego Escénico,Improvisación y Juego Escénico,ACT1318,['Jimmy Daccarett']
Voz Iii: Texto y Expresividad,Voz Iii: Texto y Expresividad,ACT132,['Ramon Gutierrez']
Movimiento Iii: Articulación y Construcción,Movimiento Iii: Articulación y Construcción,ACT133,['Ornella De la Vega']
Del Teatro Barroco al Realismo Histórico,Del Teatro Barroco al Realismo Histórico,ACT134,['Patrizio Gecele']
Teoría y Práctica de la Dramaturgía II,Teoría y Práctica de la Dramaturgía II,ACT136,['Ines Stranger']
Pedagogía Teatral,Pedagogía Teatral,ACT139,['Paola Abatte']
Gestión y Producción Teatral,Gestión y Producción Teatral,ACT148,['Freddy Araya']
Taller de Voz Cantada,Taller de Voz Cantada,ACT152,['Gabriela Aguilera']
